User agent	Version	OS	Hardware Type	Popularity
Mozilla/5.0 (Linux; Android 10; SM-G965F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36 Instagram 181.0.0.33.117 Android (29/10; 560dpi; 1440x2792; samsung; SM-G965F; star2lte; samsungexynos9810; pl_PL; 281579032)	181.0	Android	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 10; GM1913 Build/QKQ1.190716.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36 Instagram 181.0.0.33.117 Android (29/10; 560dpi; 1440x3064; OnePlus; GM1913; OnePlus7Pro; qcom; pl_PL; 281579033)	181.0	Android	Mobile	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 133.0.0.20.118 (iPhone12,1; iOS 13_3_1; en_US; en-US; scale=2.00; 828x1792; 203469221)	133.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 6.0.1; SM-J700M Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 Instagram 65.0.0.12.86 Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J700M; j7elte; samsungexynos7580; es_US; 126223520)	65.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 105.0.0.11.118 (iPhone11,6; iOS 12_3_1; en_US; en-US; scale=3.00; 1242x2688; 165586599)	105.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 6.0.1; SM-G532M Build/MMB29T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 Instagram 65.0.0.12.86 Android (23/6.0.1; 240dpi; 540x960; samsung; SM-G532M; grandpplte; mt6735; es_US; 126223513)	65.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 181.1.0.27.117 (iPhone12,3; iOS 14_4_2; en_US; en; scale=3.00; 1125x2436; 282277724) NW/1	181.1	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPad; CPU OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 181.1.0.27.117 (iPad8,10; iOS 14_4_2; en_US; en-US; scale=2.00; 750x1334; 282277724)	181.1	iOS	Mobile - Tablet	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 181.1.0.27.117 (iPhone9,2; iOS 14_4_1; en_US; en-US; scale=2.61; 1080x1920; 282277724) NW/1	181.1	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 127.0.0.22.119 (iPhone12,3; iOS 14_4_2; en_US; en-US; scale=3.00; 1125x2436; 196215991)	127.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 126.0.0.13.120 (iPhone11,6; iOS 13_3; en_US; en-US; scale=3.00; 1242x2688; 194985111)	126.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 7.0; LG-M320 Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.3396.87 Mobile Safari/537.36 Instagram 56.0.0.13.78 Android (24/7.0; 320dpi; 720x1193; LGE/lge; LG-M320; mlv7; mlv7; pt_BR; 119104798)	56.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 176.0.0.18.112 (iPhone9,4; iOS 14_4_2; en_US; en-US; scale=2.61; 1080x1920; 274198434)	176.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A366 Instagram 65.0.0.12.86 (iPhone9,3; iOS 12_0; es_CO; es-CO; scale=2.00; gamut=wide; 750x1334; 125889668)	65.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 6.0.1; SM-G610M Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36 Instagram 36.0.0.13.91 Android (23/6.0.1; 480dpi; 1080x1920; samsung; SM-G610M; on7xelte; samsungexynos7870; pt_BR; 96794592)	36.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 183.0.0.26.115 (iPhone12,1; iOS 14_4_2; nl_NL; nl-NL; scale=2.00; 828x1792; 284512648)	183.0	iOS	Mobile - Phone	Average
